gebied;specialiteit;totaal;totaal_vrouwen;totaal_mannen;vrouwen_min20;vrouwen_20_24;vrouwen_25_29;vrouwen_30_34;vrouwen_35_39;vrouwen_40_44;vrouwen_45_49;vrouwen_50_54;vrouwen_55_59;vrouwen_60_64;vrouwen_65plus;mannen_min20;mannen_20_24;mannen_25_29;mannen_30_34;mannen_35_39;mannen_40_44;mannen_45_49;mannen_50_54;mannen_55_59;mannen_60_64;mannen_65plus
Prov Henegouwen;BIJZONDERE BEROEPSBEKWAAMHEID - GEESTELIJKE GEZONDHEIDSZORG EN PSYCHIATRIE;191;158;33;0;0;5;9;18;23;32;36;30;5;0;0;0;0;2;3;10;7;8;0;3;0
Prov Henegouwen;BIJZONDERE BEROEPSBEKWAAMHEID - PALLIATIEVE ZORG;55;48;7;0;1;1;6;7;7;6;14;5;1;0;0;0;0;0;2;1;0;2;2;0;0
Prov Luik;GEEN ERKENNING;13779;12195;1584;0;382;971;1086;1343;1328;1308;1416;1496;1100;1765;0;50;192;187;228;232;153;160;187;86;109
Prov Luik;BIJZONDERE BEROEPSTITEL - INTENSIEVE ZORG EN SPOEDGEVALLENZORG;1145;823;322;0;64;121;146;154;128;84;79;35;10;2;0;10;52;50;66;66;36;16;23;2;1
Prov Luik;BIJZONDERE BEROEPSTITEL - GERIATRIE;193;171;22;0;7;19;29;32;23;23;18;16;3;1;0;0;1;1;6;4;4;4;2;0;0
Prov Luik;BIJZONDERE BEROEPSTITEL - ONCOLOGIE;310;277;33;0;19;50;38;54;41;27;18;25;4;1;0;0;1;8;5;8;5;5;1;0;0
Prov Luik;BIJZONDERE BEROEPSTITEL - PEDIATRIE EN NEONATOLOGIE;569;542;27;0;63;98;109;91;65;48;34;26;7;1;0;0;5;6;7;5;2;2;0;0;0
Prov Luik;BIJZONDERE BEROEPSTITEL - GEESTELIJKE GEZONDHEIDSZORG EN PSYCHIATRIE;219;150;69;0;3;22;15;29;25;17;17;17;4;1;0;0;6;7;19;12;12;4;9;0;0
Prov Luik;BIJZONDERE BEROEPSTITEL - PERI-OPERATIEVE ZORGEN;111;94;17;0;16;24;19;14;7;9;4;1;0;0;0;0;6;4;6;1;0;0;0;0;0
Prov Luik;BIJZONDERE BEROEPSBEKWAAMHEID - GERIATRIE;308;273;35;0;0;13;44;50;45;39;40;35;7;0;0;0;2;4;10;5;7;1;4;2;0
Prov Luik;BIJZONDERE BEROEPSBEKWAAMHEID - DIABETOLOGIE;76;69;7;0;1;3;11;6;15;14;8;6;4;1;0;0;0;0;3;2;0;1;1;0;0
Prov Luik;BIJZONDERE BEROEPSBEKWAAMHEID - GEESTELIJKE GEZONDHEIDSZORG EN PSYCHIATRIE;172;137;35;0;0;8;17;22;22;18;30;14;5;1;0;0;1;3;7;8;6;8;1;1;0
Prov Luik;BIJZONDERE BEROEPSBEKWAAMHEID - PALLIATIEVE ZORG;62;55;7;0;2;5;5;3;9;7;10;10;4;0;0;0;1;1;1;0;0;2;2;0;0
Prov Namen;GEEN ERKENNING;6798;6135;663;0;183;443;494;574;606;637;816;797;606;979;0;29;93;82;99;107;64;83;55;30;21
Prov Namen;BIJZONDERE BEROEPSTITEL - INTENSIEVE ZORG EN SPOEDGEVALLENZORG;622;446;176;0;28;79;64;90;56;58;34;24;11;2;0;11;40;23;26;30;21;13;7;3;2
Prov Namen;BIJZONDERE BEROEPSTITEL - GERIATRIE;59;50;9;0;6;4;5;10;6;8;2;5;4;0;0;0;0;2;2;3;0;1;1;0;0
Prov Namen;BIJZONDERE BEROEPSTITEL - ONCOLOGIE;119;104;15;0;3;8;13;14;20;18;18;10;0;0;0;0;1;2;0;5;3;1;1;2;0
Prov Namen;BIJZONDERE BEROEPSTITEL - PEDIATRIE EN NEONATOLOGIE;210;205;5;0;11;35;42;41;24;22;18;7;4;1;0;0;1;1;1;1;1;0;0;0;0
Prov Namen;BIJZONDERE BEROEPSTITEL - GEESTELIJKE GEZONDHEIDSZORG EN PSYCHIATRIE;63;42;21;0;2;1;4;12;8;5;3;6;1;0;0;0;1;4;1;3;5;2;2;3;0
Prov Namen;BIJZONDERE BEROEPSTITEL - PERI-OPERATIEVE ZORGEN;25;21;4;0;2;6;3;7;2;0;0;1;0;0;0;0;2;0;0;1;0;1;0;0;0
Prov Namen;BIJZONDERE BEROEPSBEKWAAMHEID - GERIATRIE;96;86;10;0;1;6;10;18;13;18;8;4;8;0;0;0;0;1;6;1;1;0;1;0;0
Prov Namen;BIJZONDERE BEROEPSBEKWAAMHEID - DIABETOLOGIE;36;31;5;0;0;1;2;4;4;8;5;3;4;0;0;0;1;1;1;1;0;1;0;0;0
Prov Namen;BIJZONDERE BEROEPSBEKWAAMHEID - GEESTELIJKE GEZONDHEIDSZORG EN PSYCHIATRIE;115;91;24;0;0;2;4;8;14;20;13;24;6;0;0;0;0;3;1;9;2;4;5;0;0
Prov Namen;BIJZONDERE BEROEPSBEKWAAMHEID - PALLIATIEVE ZORG;18;17;1;0;0;0;0;2;1;2;8;3;1;0;0;0;0;0;0;0;0;0;1;0;0
Prov Luxemburg;GEEN ERKENNING;3322;2994;328;0;85;194;254;346;318;342;448;370;277;360;0;11;30;30;49;70;18;50;41;15;14
Prov Luxemburg;BIJZONDERE BEROEPSTITEL - INTENSIEVE ZORG EN SPOEDGEVALLENZORG;298;225;73;0;23;39;32;31;35;27;23;10;3;2;0;3;16;10;10;12;5;9;4;4;0
Prov Luxemburg;BIJZONDERE BEROEPSTITEL - GERIATRIE;25;22;3;0;2;4;5;0;4;2;1;1;3;0;0;0;0;2;0;0;1;0;0;0;0
Prov Luxemburg;BIJZONDERE BEROEPSTITEL - ONCOLOGIE;29;26;3;0;2;3;3;3;2;5;2;4;2;0;0;0;2;0;0;0;0;0;1;0;0
Prov Luxemburg;BIJZONDERE BEROEPSTITEL - PEDIATRIE EN NEONATOLOGIE;70;68;2;0;9;12;15;9;4;3;6;9;1;0;0;0;0;1;1;0;0;0;0;0;0
Prov Luxemburg;BIJZONDERE BEROEPSTITEL - GEESTELIJKE GEZONDHEIDSZORG EN PSYCHIATRIE;27;21;6;0;1;2;4;8;3;0;1;2;0;0;0;0;0;0;1;2;1;2;0;0;0
Prov Luxemburg;BIJZONDERE BEROEPSTITEL - PERI-OPERATIEVE ZORGEN;18;12;6;0;2;2;1;3;1;1;1;1;0;0;0;2;2;1;1;0;0;0;0;0;0
Prov Luxemburg;BIJZONDERE BEROEPSBEKWAAMHEID - GERIATRIE;25;22;3;0;0;3;2;5;1;5;1;0;5;0;0;0;0;1;0;0;1;1;0;0;0
Prov Luxemburg;BIJZONDERE BEROEPSBEKWAAMHEID - DIABETOLOGIE;18;17;1;0;0;0;1;2;3;5;2;3;1;0;0;0;1;0;0;0;0;0;0;0;0
Prov Luxemburg;BIJZONDERE BEROEPSBEKWAAMHEID - GEESTELIJKE GEZONDHEIDSZORG EN PSYCHIATRIE;24;20;4;0;0;0;2;2;3;4;4;4;1;0;0;0;0;1;0;1;0;1;1;0;0
Prov Luxemburg;BIJZONDERE BEROEPSBEKWAAMHEID - PALLIATIEVE ZORG;15;14;1;0;0;0;1;0;4;2;4;2;1;0;0;0;0;1;0;0;0;0;0;0;0
Prov Brussels hoofdstedelijk gewest;GEEN ERKENNING;7964;6945;1019;0;256;780;628;672;642;620;777;789;534;1247;0;35;179;178;167;130;97;91;76;39;27
Prov Brussels hoofdstedelijk gewest;BIJZONDERE BEROEPSTITEL - INTENSIEVE ZORG EN SPOEDGEVALLENZORG;443;307;136;0;23;75;64;41;32;27;20;14;6;5;0;13;32;26;27;11;9;8;8;0;2
Prov Brussels hoofdstedelijk gewest;BIJZONDERE BEROEPSTITEL - GERIATRIE;92;75;17;0;1;7;12;15;8;13;6;10;2;1;0;0;1;2;5;0;4;2;1;2;0
Prov Brussels hoofdstedelijk gewest;BIJZONDERE BEROEPSTITEL - ONCOLOGIE;190;170;20;0;7;33;24;22;15;22;17;25;4;1;0;0;1;6;5;2;0;3;2;1;0
Prov Brussels hoofdstedelijk gewest;BIJZONDERE BEROEPSTITEL - PEDIATRIE EN NEONATOLOGIE;346;332;14;0;25;83;59;50;35;21;30;24;4;1;0;1;3;4;3;2;0;1;0;0;0
Prov Brussels hoofdstedelijk gewest;BIJZONDERE BEROEPSTITEL - GEESTELIJKE GEZONDHEIDSZORG EN PSYCHIATRIE;121;83;38;0;4;14;9;13;10;7;12;11;3;0;0;2;7;5;9;4;6;3;2;0;0
Prov Brussels hoofdstedelijk gewest;BIJZONDERE BEROEPSTITEL - PERI-OPERATIEVE ZORGEN;29;25;4;0;1;7;1;6;3;2;2;2;1;0;0;0;0;1;1;0;0;2;0;0;0
Prov Brussels hoofdstedelijk gewest;BIJZONDERE BEROEPSBEKWAAMHEID - GERIATRIE;110;93;17;0;1;1;10;12;18;20;13;15;2;1;0;0;2;3;4;3;4;0;0;1;0
Prov Brussels hoofdstedelijk gewest;BIJZONDERE BEROEPSBEKWAAMHEID - DIABETOLOGIE;40;33;7;0;0;3;1;7;6;6;5;4;1;0;0;0;1;1;1;0;1;2;0;1;0
Prov Brussels hoofdstedelijk gewest;BIJZONDERE BEROEPSBEKWAAMHEID - GEESTELIJKE GEZONDHEIDSZORG EN PSYCHIATRIE;48;38;10;0;0;1;4;3;4;6;8;8;4;0;0;0;1;1;2;0;4;1;1;0;0
Prov Brussels hoofdstedelijk gewest;BIJZONDERE BEROEPSBEKWAAMHEID - PALLIATIEVE ZORG;27;23;4;0;0;0;1;3;0;5;5;8;1;0;0;0;0;0;0;1;1;1;1;0;0
