gebied;specialiteit;totaal;geslacht_vrouw;geslacht_man;vrouw_min25;vrouw_25-29;vrouw_30-34;vrouw_35-39;vrouw_40-44;vrouw_45-49;vrouw_50-54;vrouw_55-59;vrouw_60-64;man_min25;man_25-29;man_30-34;man_35-39;man_40-44;man_45-49;man_50-54;man_55-59;man_60-64;man_65plus
Oost-Vlaanderen;Urgentiegeneeskunde;67;41;26;4;27;9;0;1;0;0;0;0;2;14;9;1;0;0;0;0;0;0
Oost-Vlaanderen;Gerechtelijke geneeskunde;2;2;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Oost-Vlaanderen;Anesthesie-reanimatie;84;40;44;3;30;6;1;0;0;0;0;0;3;31;7;1;2;0;0;0;0;0
Oost-Vlaanderen;Heelkunde;47;28;19;3;20;4;0;1;0;0;0;0;0;16;3;0;0;0;0;0;0;0
Oost-Vlaanderen;Neurochirurgie;13;3;10;1;1;1;0;0;0;0;0;0;0;7;3;0;0;0;0;0;0;0
Oost-Vlaanderen;Plastische, reconstructieve en esthetische heelkunde;14;8;6;2;3;3;0;0;0;0;0;0;0;2;4;0;0;0;0;0;0;0
Oost-Vlaanderen;Urologie;32;17;15;0;11;6;0;0;0;0;0;0;0;10;5;0;0;0;0;0;0;0
Oost-Vlaanderen;Orthopedische heelkunde;40;6;34;0;5;0;1;0;0;0;0;0;3;28;3;0;0;0;0;0;0;0
Oost-Vlaanderen;Neurologie;35;24;11;2;19;1;2;0;0;0;0;0;0;10;1;0;0;0;0;0;0;0
Oost-Vlaanderen;Psychiatrie, meer bepaald kinder- en jeugdpsychiatrie;19;16;3;1;13;2;0;0;0;0;0;0;0;2;1;0;0;0;0;0;0;0
Oost-Vlaanderen;Psychiatrie, meer bepaald volwassenpsychiatrie;48;30;18;2;24;4;0;0;0;0;0;0;0;16;2;0;0;0;0;0;0;0
Oost-Vlaanderen;Pneumologie;13;8;5;0;6;2;0;0;0;0;0;0;0;3;2;0;0;0;0;0;0;0
Oost-Vlaanderen;Gastro-enterologie;19;14;5;0;9;5;0;0;0;0;0;0;0;4;1;0;0;0;0;0;0;0
Oost-Vlaanderen;Cardiologie;14;5;9;0;3;2;0;0;0;0;0;0;0;6;3;0;0;0;0;0;0;0
Oost-Vlaanderen;Inwendige geneeskunde;143;84;59;12;66;5;1;0;0;0;0;0;10;42;7;0;0;0;0;0;0;0
Oost-Vlaanderen;Reumatologie;9;6;3;0;2;4;0;0;0;0;0;0;0;3;0;0;0;0;0;0;0;0
Oost-Vlaanderen;Acute geneeskunde;2;1;1;0;0;1;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0
Oost-Vlaanderen;Gynaecologie-verloskunde;45;43;2;4;33;6;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0
Oost-Vlaanderen;Oftalmologie;25;16;9;4;12;0;0;0;0;0;0;0;2;7;0;0;0;0;0;0;0;0
Oost-Vlaanderen;Otorhinolaryngologie;21;17;4;1;13;3;0;0;0;0;0;0;0;4;0;0;0;0;0;0;0;0
Oost-Vlaanderen;Stomatologie;11;4;7;1;3;0;0;0;0;0;0;0;1;6;0;0;0;0;0;0;0;0
Oost-Vlaanderen;Dermato-venereologie;21;19;2;2;15;2;0;0;0;0;0;0;0;1;1;0;0;0;0;0;0;0
Oost-Vlaanderen;Pediatrie;59;46;13;6;35;5;0;0;0;0;0;0;3;7;3;0;0;0;0;0;0;0
Oost-Vlaanderen;Fysische geneeskunde en revalidatie;25;11;14;0;10;1;0;0;0;0;0;0;1;9;4;0;0;0;0;0;0;0
Oost-Vlaanderen;Klinische biologie;12;5;7;0;3;1;0;1;0;0;0;0;0;5;1;1;0;0;0;0;0;0
Oost-Vlaanderen;Röntgendiagnose;42;11;31;0;7;2;1;1;0;0;0;0;6;20;1;3;1;0;0;0;0;0
Oost-Vlaanderen;Radiotherapie-oncologie;8;2;6;0;1;1;0;0;0;0;0;0;1;4;1;0;0;0;0;0;0;0
Oost-Vlaanderen;Nucleaire geneeskunde;3;0;3;0;0;0;0;0;0;0;0;0;1;1;1;0;0;0;0;0;0;0
Oost-Vlaanderen;Pathologische anatomie;11;8;3;1;2;4;0;1;0;0;0;0;0;2;1;0;0;0;0;0;0;0
Oost-Vlaanderen;Medische oncologie;9;6;3;0;4;1;1;0;0;0;0;0;0;1;2;0;0;0;0;0;0;0
Oost-Vlaanderen;Klinische genetica;9;6;3;1;2;2;1;0;0;0;0;0;0;0;1;2;0;0;0;0;0;0
Oost-Vlaanderen;Arbeidsgeneeskunde;14;7;7;0;2;4;1;0;0;0;0;0;0;1;3;0;2;0;0;1;0;0
Oost-Vlaanderen;Verzekeringsgeneeskunde en medische expertise;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0
Antwerpen;Alle specialiteiten;902;523;379;58;361;92;4;4;1;3;0;0;36;263;71;6;2;1;0;0;0;0
Antwerpen;Geriatrie;15;12;3;0;7;5;0;0;0;0;0;0;0;3;0;0;0;0;0;0;0;0
Antwerpen;Urgentiegeneeskunde;78;46;32;6;30;8;2;0;0;0;0;0;1;20;10;1;0;0;0;0;0;0
Antwerpen;Gerechtelijke geneeskunde;5;4;1;0;3;1;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0
Antwerpen;Anesthesie-reanimatie;81;34;47;2;23;6;1;2;0;0;0;0;4;32;8;2;1;0;0;0;0;0
Antwerpen;Heelkunde;65;36;29;1;27;8;0;0;0;0;0;0;2;19;8;0;0;0;0;0;0;0
Antwerpen;Neurochirurgie;11;4;7;2;2;0;0;0;0;0;0;0;1;6;0;0;0;0;0;0;0;0
Antwerpen;Plastische, reconstructieve en esthetische heelkunde;11;6;5;2;4;0;0;0;0;0;0;0;1;3;1;0;0;0;0;0;0;0
Antwerpen;Urologie;32;13;19;1;9;3;0;0;0;0;0;0;3;10;6;0;0;0;0;0;0;0
Antwerpen;Orthopedische heelkunde;49;12;37;1;5;6;0;0;0;0;0;0;4;24;9;0;0;0;0;0;0;0
Antwerpen;Neurologie;27;19;8;4;10;4;0;1;0;0;0;0;1;7;0;0;0;0;0;0;0;0
Antwerpen;Psychiatrie, meer bepaald kinder- en jeugdpsychiatrie;20;17;3;4;13;0;0;0;0;0;0;0;1;1;1;0;0;0;0;0;0;0
Antwerpen;Psychiatrie, meer bepaald volwassenpsychiatrie;44;21;23;2;16;3;0;0;0;0;0;0;4;15;4;0;0;0;0;0;0;0
Antwerpen;Pneumologie;13;6;7;0;4;2;0;0;0;0;0;0;0;6;1;0;0;0;0;0;0;0
Antwerpen;Gastro-enterologie;20;13;7;0;8;5;0;0;0;0;0;0;0;4;3;0;0;0;0;0;0;0
Antwerpen;Cardiologie;12;4;8;0;3;1;0;0;0;0;0;0;0;5;3;0;0;0;0;0;0;0
Antwerpen;Inwendige geneeskunde;131;80;51;14;59;7;0;0;0;0;0;0;7;39;3;1;0;1;0;0;0;0
Antwerpen;Reumatologie;2;0;2;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0
Antwerpen;Acute geneeskunde;3;1;2;0;1;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0
Antwerpen;Gynaecologie-verloskunde;47;41;6;6;29;6;0;0;0;0;0;0;0;6;0;0;0;0;0;0;0;0
Antwerpen;Oftalmologie;21;14;7;0;11;3;0;0;0;0;0;0;2;5;0;0;0;0;0;0;0;0
Antwerpen;Otorhinolaryngologie;26;19;7;3;14;2;0;0;0;0;0;0;1;5;1;0;0;0;0;0;0;0
Antwerpen;Stomatologie;9;2;7;0;2;0;0;0;0;0;0;0;0;6;1;0;0;0;0;0;0;0
Antwerpen;Dermato-venereologie;16;12;4;1;7;4;0;0;0;0;0;0;0;3;1;0;0;0;0;0;0;0
Antwerpen;Pediatrie;66;58;8;7;45;6;0;0;0;0;0;0;1;6;1;0;0;0;0;0;0;0
Antwerpen;Fysische geneeskunde en revalidatie;12;8;4;0;6;0;0;1;0;1;0;0;0;2;2;0;0;0;0;0;0;0
Antwerpen;Klinische biologie;8;5;3;1;2;2;0;0;0;0;0;0;0;3;0;0;0;0;0;0;0;0
Antwerpen;Röntgendiagnose;31;8;23;1;6;1;0;0;0;0;0;0;2;17;3;0;1;0;0;0;0;0
Antwerpen;Radiotherapie-oncologie;11;6;5;0;4;2;0;0;0;0;0;0;1;4;0;0;0;0;0;0;0;0
Antwerpen;Nucleaire geneeskunde;4;0;4;0;0;0;0;0;0;0;0;0;0;2;2;0;0;0;0;0;0;0
Antwerpen;Pathologische anatomie;9;5;4;0;4;0;1;0;0;0;0;0;0;2;1;1;0;0;0;0;0;0
Antwerpen;Medische oncologie;3;2;1;0;2;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0
Antwerpen;Klinische genetica;7;6;1;0;4;2;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0
Antwerpen;Arbeidsgeneeskunde;13;9;4;0;1;5;0;0;1;2;0;0;0;2;1;1;0;0;0;0;0;0
Limburg;Alle specialiteiten;228;129;99;21;81;20;5;0;0;1;1;0;17;66;13;1;1;1;0;0;0;0
Limburg;Geriatrie;1;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Limburg;Urgentiegeneeskunde;18;11;7;2;8;1;0;0;0;0;0;0;2;4;1;0;0;0;0;0;0;0
Limburg;Gerechtelijke geneeskunde;1;0;1;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0
Limburg;Anesthesie-reanimatie;26;15;11;0;11;3;1;0;0;0;0;0;0;9;2;0;0;0;0;0;0;0
Limburg;Heelkunde;18;10;8;2;5;3;0;0;0;0;0;0;2;6;0;0;0;0;0;0;0;0
Limburg;Neurochirurgie;7;1;6;0;1;0;0;0;0;0;0;0;0;4;2;0;0;0;0;0;0;0
Limburg;Urologie;6;2;4;1;1;0;0;0;0;0;0;0;2;2;0;0;0;0;0;0;0;0
Limburg;Orthopedische heelkunde;11;2;9;0;2;0;0;0;0;0;0;0;1;7;0;1;0;0;0;0;0;0
Limburg;Neurologie;4;2;2;0;1;0;1;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0
Limburg;Psychiatrie, meer bepaald kinder- en jeugdpsychiatrie;2;1;1;0;1;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0
Limburg;Psychiatrie, meer bepaald volwassenpsychiatrie;12;8;4;1;4;1;2;0;0;0;0;0;0;2;2;0;0;0;0;0;0;0
Limburg;Pneumologie;2;2;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Limburg;Gastro-enterologie;3;0;3;0;0;0;0;0;0;0;0;0;0;3;0;0;0;0;0;0;0;0
Limburg;Cardiologie;7;3;4;0;0;3;0;0;0;0;0;0;0;2;2;0;0;0;0;0;0;0
Limburg;Inwendige geneeskunde;27;14;13;3;11;0;0;0;0;0;0;0;4;8;1;0;0;0;0;0;0;0
Limburg;Reumatologie;1;0;1;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0
Limburg;Gynaecologie-verloskunde;22;19;3;4;13;2;0;0;0;0;0;0;0;2;1;0;0;0;0;0;0;0
Limburg;Oftalmologie;8;6;2;3;2;1;0;0;0;0;0;0;1;1;0;0;0;0;0;0;0;0
Limburg;Otorhinolaryngologie;3;2;1;0;2;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0
Limburg;Stomatologie;7;2;5;0;2;0;0;0;0;0;0;0;1;4;0;0;0;0;0;0;0;0
Limburg;Dermato-venereologie;4;4;0;2;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Limburg;Pediatrie;6;6;0;1;5;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Limburg;Fysische geneeskunde en revalidatie;7;5;2;0;3;2;0;0;0;0;0;0;1;1;0;0;0;0;0;0;0;0
Limburg;Klinische biologie;2;2;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Limburg;Röntgendiagnose;12;3;9;1;2;0;0;0;0;0;0;0;1;6;1;0;1;0;0;0;0;0
Limburg;Nucleaire geneeskunde;3;2;1;0;2;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0
Limburg;Pathologische anatomie;1;1;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Limburg;Arbeidsgeneeskunde;7;5;2;0;0;2;1;0;0;1;1;0;0;1;0;0;0;1;0;0;0;0
Waals Brabant;Alle specialiteiten;312;200;112;21;130;43;3;1;2;0;0;0;6;72;30;2;1;1;0;0;0;0
Waals Brabant;Geriatrie;15;10;5;0;5;5;0;0;0;0;0;0;0;3;2;0;0;0;0;0;0;0
Waals Brabant;Urgentiegeneeskunde;39;26;13;1;12;11;0;0;2;0;0;0;0;7;4;1;0;1;0;0;0;0
Waals Brabant;Anesthesie-reanimatie;24;11;13;1;8;2;0;0;0;0;0;0;0;10;3;0;0;0;0;0;0;0
Waals Brabant;Heelkunde;16;9;7;0;8;1;0;0;0;0;0;0;1;4;2;0;0;0;0;0;0;0
Waals Brabant;Neurochirurgie;1;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Waals Brabant;Plastische, reconstructieve en esthetische heelkunde;7;4;3;0;3;1;0;0;0;0;0;0;1;2;0;0;0;0;0;0;0;0
Waals Brabant;Urologie;3;0;3;0;0;0;0;0;0;0;0;0;0;2;1;0;0;0;0;0;0;0
Waals Brabant;Orthopedische heelkunde;14;1;13;0;1;0;0;0;0;0;0;0;0;3;9;1;0;0;0;0;0;0
Waals Brabant;Neurologie;5;3;2;0;3;0;0;0;0;0;0;0;0;1;1;0;0;0;0;0;0;0
Waals Brabant;Psychiatrie, meer bepaald kinder- en jeugdpsychiatrie;7;7;0;0;7;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Waals Brabant;Psychiatrie, meer bepaald volwassenpsychiatrie;11;8;3;1;5;2;0;0;0;0;0;0;0;2;1;0;0;0;0;0;0;0
Waals Brabant;Pneumologie;6;6;0;0;4;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Waals Brabant;Gastro-enterologie;8;6;2;0;5;1;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0
Waals Brabant;Cardiologie;5;3;2;0;2;1;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0
Waals Brabant;Inwendige geneeskunde;47;24;23;2;19;3;0;0;0;0;0;0;3;20;0;0;0;0;0;0;0;0
Waals Brabant;Gynaecologie-verloskunde;16;15;1;3;10;1;1;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0
Waals Brabant;Oftalmologie;5;1;4;0;1;0;0;0;0;0;0;0;1;3;0;0;0;0;0;0;0;0
Waals Brabant;Otorhinolaryngologie;5;5;0;0;3;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Waals Brabant;Stomatologie;1;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Waals Brabant;Dermato-venereologie;5;5;0;1;2;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Waals Brabant;Pediatrie;42;37;5;10;21;6;0;0;0;0;0;0;0;3;2;0;0;0;0;0;0;0
Waals Brabant;Fysische geneeskunde en revalidatie;5;3;2;0;3;0;0;0;0;0;0;0;0;1;1;0;0;0;0;0;0;0
Waals Brabant;Klinische biologie;2;1;1;1;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0
Waals Brabant;Röntgendiagnose;10;4;6;0;2;2;0;0;0;0;0;0;0;5;1;0;0;0;0;0;0;0
Waals Brabant;Radiotherapie-oncologie;3;2;1;1;1;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0
Waals Brabant;Pathologische anatomie;2;2;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Waals Brabant;Medische oncologie;2;1;1;0;1;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0
Waals Brabant;Arbeidsgeneeskunde;3;2;1;0;0;1;1;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0
Waals Brabant;Verzekeringsgeneeskunde en medische expertise;3;2;1;0;1;0;0;1;0;0;0;0;0;0;1;0;0;0;0;0;0;0
Henegouwen;Alle specialiteiten;436;263;173;24;178;47;9;2;1;1;0;1;11;118;38;4;0;1;0;0;0;1
Henegouwen;Geriatrie;8;6;2;0;6;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0
Henegouwen;Urgentiegeneeskunde;45;28;17;3;17;6;1;0;0;1;0;0;0;11;6;0;0;0;0;0;0;0
Henegouwen;Anesthesie-reanimatie;29;15;14;1;9;4;1;0;0;0;0;0;0;10;3;1;0;0;0;0;0;0
Henegouwen;Heelkunde;35;18;17;3;11;4;0;0;0;0;0;0;2;10;5;0;0;0;0;0;0;0
Henegouwen;Neurochirurgie;5;2;3;0;1;1;0;0;0;0;0;0;0;3;0;0;0;0;0;0;0;0
Henegouwen;Plastische, reconstructieve en esthetische heelkunde;2;2;0;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Henegouwen;Urologie;9;3;6;0;1;1;1;0;0;0;0;0;0;3;3;0;0;0;0;0;0;0
Henegouwen;Orthopedische heelkunde;27;14;13;1;9;4;0;0;0;0;0;0;0;10;3;0;0;0;0;0;0;0
Henegouwen;Neurologie;11;5;6;1;3;1;0;0;0;0;0;0;1;3;2;0;0;0;0;0;0;0
Henegouwen;Psychiatrie, meer bepaald kinder- en jeugdpsychiatrie;9;9;0;0;8;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Henegouwen;Psychiatrie, meer bepaald volwassenpsychiatrie;17;15;2;0;12;2;1;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0
Henegouwen;Pneumologie;5;3;2;0;0;3;0;0;0;0;0;0;0;1;1;0;0;0;0;0;0;0
Henegouwen;Gastro-enterologie;8;3;5;0;2;1;0;0;0;0;0;0;0;2;3;0;0;0;0;0;0;0
Henegouwen;Cardiologie;8;0;8;0;0;0;0;0;0;0;0;0;0;6;2;0;0;0;0;0;0;0
Henegouwen;Inwendige geneeskunde;73;35;38;5;27;3;0;0;0;0;0;0;6;27;5;0;0;0;0;0;0;0
Henegouwen;Reumatologie;3;2;1;0;2;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0
Henegouwen;Gynaecologie-verloskunde;20;19;1;1;16;2;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0
Henegouwen;Oftalmologie;6;5;1;1;3;0;1;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0
Henegouwen;Otorhinolaryngologie;4;2;2;0;2;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0
Henegouwen;Stomatologie;3;2;1;0;1;1;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0
Henegouwen;Dermato-venereologie;11;9;2;0;9;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0
Henegouwen;Pediatrie;35;28;7;4;20;4;0;0;0;0;0;0;0;6;1;0;0;0;0;0;0;0
Henegouwen;Fysische geneeskunde en revalidatie;8;4;4;0;3;1;0;0;0;0;0;0;0;4;0;0;0;0;0;0;0;0
Henegouwen;Klinische biologie;5;1;4;0;1;0;0;0;0;0;0;0;0;2;1;0;0;1;0;0;0;0
Henegouwen;Röntgendiagnose;18;10;8;3;7;0;0;0;0;0;0;0;1;7;0;0;0;0;0;0;0;0
Henegouwen;Radiotherapie-oncologie;3;3;0;0;2;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Henegouwen;Nucleaire geneeskunde;1;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Henegouwen;Pathologische anatomie;7;5;2;0;3;2;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0
Henegouwen;Medische oncologie;1;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Henegouwen;Klinische genetica;1;1;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Henegouwen;Arbeidsgeneeskunde;18;12;6;0;1;4;3;2;1;0;0;1;0;1;2;3;0;0;0;0;0;0
Henegouwen;Verzekeringsgeneeskunde en medische expertise;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1
Luik;Alle specialiteiten;719;422;297;43;289;84;4;0;2;0;0;0;23;199;64;9;1;0;0;0;1;0
Luik;Geriatrie;21;15;6;2;7;6;0;0;0;0;0;0;1;3;2;0;0;0;0;0;0;0
Luik;Urgentiegeneeskunde;71;35;36;1;28;6;0;0;0;0;0;0;1;17;15;2;0;0;0;0;1;0
Luik;Gerechtelijke geneeskunde;2;1;1;0;0;1;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0
Luik;Beheer van gezondheidsgegevens;1;1;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0
Luik;Anesthesie-reanimatie;93;43;50;2;33;8;0;0;0;0;0;0;2;38;8;2;0;0;0;0;0;0
Luik;Heelkunde;47;25;22;4;13;8;0;0;0;0;0;0;4;15;3;0;0;0;0;0;0;0
Luik;Neurochirurgie;6;3;3;0;2;1;0;0;0;0;0;0;0;2;1;0;0;0;0;0;0;0
Luik;Plastische, reconstructieve en esthetische heelkunde;6;5;1;0;4;1;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0
Luik;Urologie;9;4;5;0;3;1;0;0;0;0;0;0;1;3;1;0;0;0;0;0;0;0
Luik;Orthopedische heelkunde;32;11;21;2;6;3;0;0;0;0;0;0;2;13;5;1;0;0;0;0;0;0
Luik;Neurologie;20;12;8;1;9;2;0;0;0;0;0;0;1;6;1;0;0;0;0;0;0;0
Luik;Psychiatrie, meer bepaald kinder- en jeugdpsychiatrie;18;14;4;0;10;4;0;0;0;0;0;0;0;4;0;0;0;0;0;0;0;0
Luik;Psychiatrie, meer bepaald volwassenpsychiatrie;16;9;7;0;8;1;0;0;0;0;0;0;0;5;2;0;0;0;0;0;0;0
Luik;Pneumologie;20;12;8;1;7;4;0;0;0;0;0;0;1;6;1;0;0;0;0;0;0;0
Luik;Gastro-enterologie;22;12;10;1;7;4;0;0;0;0;0;0;2;6;2;0;0;0;0;0;0;0
Luik;Cardiologie;24;10;14;3;4;3;0;0;0;0;0;0;1;11;2;0;0;0;0;0;0;0
Luik;Inwendige geneeskunde;50;33;17;4;28;1;0;0;0;0;0;0;1;14;2;0;0;0;0;0;0;0
Luik;Reumatologie;9;7;2;0;5;2;0;0;0;0;0;0;1;1;0;0;0;0;0;0;0;0
Luik;Gynaecologie-verloskunde;42;36;6;4;26;5;1;0;0;0;0;0;1;4;0;1;0;0;0;0;0;0
Luik;Oftalmologie;13;8;5;2;6;0;0;0;0;0;0;0;0;4;1;0;0;0;0;0;0;0
Luik;Otorhinolaryngologie;14;6;8;1;5;0;0;0;0;0;0;0;0;6;2;0;0;0;0;0;0;0
Luik;Stomatologie;5;3;2;2;1;0;0;0;0;0;0;0;0;1;0;1;0;0;0;0;0;0
Luik;Dermato-venereologie;7;6;1;2;3;1;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0
Luik;Pediatrie;61;51;10;4;37;9;1;0;0;0;0;0;0;6;3;1;0;0;0;0;0;0
Luik;Fysische geneeskunde en revalidatie;17;6;11;1;3;2;0;0;0;0;0;0;1;8;2;0;0;0;0;0;0;0
Luik;Klinische biologie;5;2;3;0;2;0;0;0;0;0;0;0;0;3;0;0;0;0;0;0;0;0
Luik;Röntgendiagnose;31;17;14;4;10;3;0;0;0;0;0;0;1;12;1;0;0;0;0;0;0;0
Luik;Radiotherapie-oncologie;6;4;2;0;4;0;0;0;0;0;0;0;0;0;1;1;0;0;0;0;0;0
Luik;Nucleaire geneeskunde;5;2;3;0;2;0;0;0;0;0;0;0;1;1;1;0;0;0;0;0;0;0
Luik;Pathologische anatomie;7;3;4;0;2;1;0;0;0;0;0;0;1;2;1;0;0;0;0;0;0;0
Luik;Medische oncologie;16;10;6;2;6;2;0;0;0;0;0;0;0;4;2;0;0;0;0;0;0;0
Luik;Klinische genetica;4;4;0;0;4;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Luik;Arbeidsgeneeskunde;19;12;7;0;4;5;2;0;1;0;0;0;0;3;3;0;1;0;0;0;0;0
Namen;Alle specialiteiten;218;124;94;10;77;33;3;1;0;0;0;0;4;67;20;1;1;1;0;0;0;0
Namen;Geriatrie;2;1;1;0;1;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0
Namen;Urgentiegeneeskunde;36;20;16;1;13;6;0;0;0;0;0;0;1;8;5;1;0;1;0;0;0;0
Namen;Gerechtelijke geneeskunde;1;0;1;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0
Namen;Anesthesie-reanimatie;22;9;13;0;3;5;1;0;0;0;0;0;1;10;2;0;0;0;0;0;0;0
Namen;Heelkunde;16;8;8;1;4;3;0;0;0;0;0;0;0;4;4;0;0;0;0;0;0;0
Namen;Neurochirurgie;2;1;1;0;1;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0
Namen;Urologie;4;2;2;0;0;2;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0
Namen;Orthopedische heelkunde;11;3;8;0;2;1;0;0;0;0;0;0;0;4;4;0;0;0;0;0;0;0
Namen;Neurologie;3;1;2;0;1;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0
Namen;Psychiatrie, meer bepaald kinder- en jeugdpsychiatrie;4;4;0;0;2;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Namen;Psychiatrie, meer bepaald volwassenpsychiatrie;7;5;2;1;4;0;0;0;0;0;0;0;1;1;0;0;0;0;0;0;0;0
Namen;Pneumologie;5;3;2;0;0;3;0;0;0;0;0;0;0;1;1;0;0;0;0;0;0;0
Namen;Gastro-enterologie;5;4;1;0;0;4;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0
Namen;Cardiologie;7;2;5;0;1;1;0;0;0;0;0;0;0;3;2;0;0;0;0;0;0;0
Namen;Inwendige geneeskunde;27;16;11;2;12;2;0;0;0;0;0;0;0;10;1;0;0;0;0;0;0;0
Namen;Gynaecologie-verloskunde;12;11;1;1;9;1;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0
Namen;Oftalmologie;6;5;1;3;2;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0
Namen;Otorhinolaryngologie;2;0;2;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0
Namen;Stomatologie;4;1;3;0;0;1;0;0;0;0;0;0;0;3;0;0;0;0;0;0;0;0
Namen;Dermato-venereologie;3;3;0;0;2;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Namen;Pediatrie;17;15;2;1;14;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0
Namen;Fysische geneeskunde en revalidatie;2;1;1;0;1;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0
Namen;Röntgendiagnose;7;1;6;0;1;0;0;0;0;0;0;0;1;4;1;0;0;0;0;0;0;0
Namen;Radiotherapie-oncologie;4;3;1;0;1;2;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0
Namen;Pathologische anatomie;2;1;1;0;1;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0
Namen;Medische oncologie;2;0;2;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0
Namen;Arbeidsgeneeskunde;5;4;1;0;2;1;1;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0
