territoire;spécialité;total;total_femmes;total_hommes;femmes_moins20;femmes_20_24;femmes_25_29;femmes_30_34;femmes_35_39;femmes_40_44;femmes_45_49;femmes_50_54;femmes_55_59;femmes_60_64;femmes_65plus;hommes_moins20;hommes_20_24;hommes_25_29;hommes_30_34;hommes_35_39;hommes_40_44;hommes_45_49;hommes_50_54;hommes_55_59;hommes_60_64;hommes_65plus
Prov Liège;TITRE PROFESSIONNEL PARTICULIER - GERIATRIE;197;176;21;0;7;18;25;34;30;18;19;19;5;1;0;0;1;1;4;5;3;5;2;0;0
Prov Liège;TITRE PROFESSIONNEL PARTICULIER - ONCOLOGIE;317;284;33;0;16;46;46;46;50;28;17;25;9;1;0;1;0;8;3;8;6;4;3;0;0
Prov Liège;TITRE PROFESSIONNEL PARTICULIER - PEDIATRIE ET NEONATOLOGIE;587;560;27;0;49;108;115;88;75;43;41;26;14;1;0;0;4;7;6;6;2;0;2;0;0
Prov Liège;TITRE PROFESSIONNEL PARTICULIER - SANTE MENTALE ET PSYCHIATRIE;251;172;79;0;2;25;17;28;30;24;23;14;7;2;0;0;7;9;18;14;14;6;7;4;0
Prov Liège;TITRE PROFESSIONNEL PARTICULIER - SOINS PERI-OPERATOIRES;240;207;33;0;15;45;35;30;28;27;18;8;1;0;0;2;9;6;11;3;1;0;0;1;0
Prov Liège;QUALIFICATION PROFESSIONNELLE PARTICULIERE - GERIATRIE;342;303;39;0;0;12;47;53;55;48;43;34;11;0;0;0;2;4;9;6;8;4;4;1;1
Prov Liège;QUALIFICATION PROFESSIONNELLE PARTICULIERE - DIABETOLOGIE;93;83;10;0;0;5;12;11;17;18;8;5;5;2;0;0;2;1;3;2;0;1;1;0;0
Prov Liège;QUALIFICATION PROFESSIONNELLE PARTICULIERE - SANTE MENTALE ET PSYCHIATRIE;200;157;43;0;0;5;20;20;30;24;30;17;10;1;0;0;1;7;8;8;8;4;6;1;0
Prov Liège;QUALIFICATION PROFESSIONNELLE PARTICULIERE - SOINS PALLIATIFS;124;114;10;0;0;14;10;11;13;21;19;16;10;0;0;0;1;1;1;2;1;2;2;0;0
Prov Namur;SANS AGREMENT;6833;6154;679;0;228;422;489;538;571;623;769;814;620;1080;0;38;99;90;88;109;58;69;71;29;28
Prov Namur;TITRE PROFESSIONNEL PARTICULIER - SOINS INTENSIFS ET D'URGENCE;663;480;183;0;34;92;64;86;64;56;40;29;10;5;0;5;43;21;32;30;22;16;6;6;2
Prov Namur;TITRE PROFESSIONNEL PARTICULIER - GERIATRIE;62;53;9;0;5;7;4;11;6;7;4;5;4;0;0;0;0;1;2;3;1;1;1;0;0
Prov Namur;TITRE PROFESSIONNEL PARTICULIER - ONCOLOGIE;125;110;15;0;6;11;10;14;20;18;16;14;1;0;0;0;0;3;0;4;3;2;1;1;1
Prov Namur;TITRE PROFESSIONNEL PARTICULIER - PEDIATRIE ET NEONATOLOGIE;222;217;5;0;14;35;41;43;24;24;21;9;5;1;0;0;1;1;1;1;1;0;0;0;0
Prov Namur;TITRE PROFESSIONNEL PARTICULIER - SANTE MENTALE ET PSYCHIATRIE;93;59;34;0;2;1;6;14;12;11;4;8;1;0;0;0;2;3;7;8;4;5;1;3;1
Prov Namur;TITRE PROFESSIONNEL PARTICULIER - SOINS PERI-OPERATOIRES;123;107;16;0;2;17;13;24;15;15;10;9;2;0;0;0;3;3;2;4;2;1;1;0;0
Prov Namur;QUALIFICATION PROFESSIONNELLE PARTICULIERE - GERIATRIE;102;90;12;0;0;6;11;18;15;16;9;7;6;2;0;0;1;2;6;1;1;0;1;0;0
Prov Namur;QUALIFICATION PROFESSIONNELLE PARTICULIERE - DIABETOLOGIE;41;37;4;0;1;2;3;6;5;5;7;4;4;0;0;0;0;0;2;1;0;0;1;0;0
Prov Namur;QUALIFICATION PROFESSIONNELLE PARTICULIERE - SANTE MENTALE ET PSYCHIATRIE;145;114;31;0;0;2;6;15;16;21;17;28;9;0;0;0;0;4;2;8;7;4;5;1;0
Prov Namur;QUALIFICATION PROFESSIONNELLE PARTICULIERE - SOINS PALLIATIFS;42;38;4;0;0;1;0;3;5;6;9;14;0;0;0;0;0;0;0;0;2;0;1;1;0
Prov Luxembourg;SANS AGREMENT;3342;3019;323;0;90;203;223;345;317;335;424;399;278;405;0;9;29;23;46;67;22;45;45;20;17
Prov Luxembourg;TITRE PROFESSIONNEL PARTICULIER - SOINS INTENSIFS ET D'URGENCE;316;236;80;0;16;50;36;32;34;23;23;16;4;2;0;5;15;15;8;13;6;9;5;3;1
Prov Luxembourg;TITRE PROFESSIONNEL PARTICULIER - GERIATRIE;28;24;4;0;2;3;7;1;2;3;2;1;2;1;0;0;0;1;1;0;2;0;0;0;0
Prov Luxembourg;TITRE PROFESSIONNEL PARTICULIER - ONCOLOGIE;33;30;3;0;2;6;3;3;1;6;2;4;3;0;0;0;2;0;0;0;0;0;1;0;0
Prov Luxembourg;TITRE PROFESSIONNEL PARTICULIER - PEDIATRIE ET NEONATOLOGIE;70;68;2;0;6;10;17;10;6;3;5;10;1;0;0;0;0;1;0;1;0;0;0;0;0
Prov Luxembourg;TITRE PROFESSIONNEL PARTICULIER - SANTE MENTALE ET PSYCHIATRIE;33;26;7;0;0;2;5;10;3;1;1;4;0;0;0;0;0;0;2;1;2;1;1;0;0
Prov Luxembourg;TITRE PROFESSIONNEL PARTICULIER - SOINS PERI-OPERATOIRES;53;43;10;0;3;9;10;6;6;5;1;3;0;0;0;1;3;0;3;1;2;0;0;0;0
Prov Luxembourg;QUALIFICATION PROFESSIONNELLE PARTICULIERE - GERIATRIE;28;24;4;0;0;3;4;3;3;3;3;0;4;1;0;0;0;0;1;0;2;1;0;0;0
Prov Luxembourg;QUALIFICATION PROFESSIONNELLE PARTICULIERE - DIABETOLOGIE;21;20;1;0;0;0;2;4;3;4;3;3;1;0;0;0;1;0;0;0;0;0;0;0;0
Prov Luxembourg;QUALIFICATION PROFESSIONNELLE PARTICULIERE - SANTE MENTALE ET PSYCHIATRIE;26;21;5;0;0;0;2;1;3;3;5;5;2;0;0;0;0;2;0;1;0;1;1;0;0
Prov Luxembourg;QUALIFICATION PROFESSIONNELLE PARTICULIERE - SOINS PALLIATIFS;31;29;2;0;0;0;2;2;5;6;5;6;3;0;0;0;1;1;0;0;0;0;0;0;0
Prov Région de Bruxelles-capitale;SANS AGREMENT;8064;7010;1054;0;291;803;653;631;651;594;721;796;566;1304;0;43;187;195;160;118;108;90;80;41;32
Prov Région de Bruxelles-capitale;TITRE PROFESSIONNEL PARTICULIER - SOINS INTENSIFS ET D'URGENCE;473;329;144;0;27;75;72;46;32;30;19;14;8;6;0;8;45;30;18;14;8;10;9;0;2
Prov Région de Bruxelles-capitale;TITRE PROFESSIONNEL PARTICULIER - GERIATRIE;99;80;19;0;5;5;16;13;10;10;7;11;2;1;0;0;2;1;5;1;4;0;4;2;0
Prov Région de Bruxelles-capitale;TITRE PROFESSIONNEL PARTICULIER - ONCOLOGIE;202;181;21;0;5;38;23;27;15;22;17;25;7;2;0;1;1;5;5;3;0;3;2;1;0
Prov Région de Bruxelles-capitale;TITRE PROFESSIONNEL PARTICULIER - PEDIATRIE ET NEONATOLOGIE;355;339;16;0;32;82;54;52;34;22;33;20;8;2;0;0;4;5;3;2;1;1;0;0;0
Prov Région de Bruxelles-capitale;TITRE PROFESSIONNEL PARTICULIER - SANTE MENTALE ET PSYCHIATRIE;141;97;44;0;4;14;15;15;10;13;10;13;3;0;0;2;8;5;8;5;8;5;2;1;0
Prov Région de Bruxelles-capitale;TITRE PROFESSIONNEL PARTICULIER - SOINS PERI-OPERATOIRES;108;83;25;0;3;12;8;14;13;7;13;9;4;0;0;0;5;9;4;2;1;1;2;1;0
Prov Région de Bruxelles-capitale;QUALIFICATION PROFESSIONNELLE PARTICULIERE - GERIATRIE;124;103;21;0;1;2;9;15;20;21;14;18;1;2;0;0;0;5;4;4;5;2;0;1;0
Prov Région de Bruxelles-capitale;QUALIFICATION PROFESSIONNELLE PARTICULIERE - DIABETOLOGIE;43;34;9;0;0;2;1;7;5;7;5;5;1;1;0;0;1;1;1;1;0;3;1;1;0
Prov Région de Bruxelles-capitale;QUALIFICATION PROFESSIONNELLE PARTICULIERE - SANTE MENTALE ET PSYCHIATRIE;57;46;11;0;0;2;5;4;4;7;11;8;5;0;0;0;1;0;2;1;3;2;2;0;0
Prov Région de Bruxelles-capitale;QUALIFICATION PROFESSIONNELLE PARTICULIERE - SOINS PALLIATIFS;36;31;5;0;0;0;1;3;2;5;7;10;2;1;0;0;1;0;0;1;1;0;2;0;0
