gebied;specialiteit;totaal;totaal_vrouwen;totaal_mannen;vrouwen_min20;vrouwen_20_24;vrouwen_25_29;vrouwen_30_34;vrouwen_35_39;vrouwen_40_44;vrouwen_45_49;vrouwen_50_54;vrouwen_55_59;vrouwen_60_64;vrouwen_65plus;mannen_min20;mannen_20_24;mannen_25_29;mannen_30_34;mannen_35_39;mannen_40_44;mannen_45_49;mannen_50_54;mannen_55_59;mannen_60_64;mannen_65plus
Prov Henegouwen;BIJZONDERE BEROEPSBEKWAAMHEID - GEESTELIJKE GEZONDHEIDSZORG EN PSYCHIATRIE;262;219;43;0;0;6;11;23;35;36;50;38;19;1;0;0;0;4;5;10;10;7;4;3;0
Prov Henegouwen;BIJZONDERE BEROEPSBEKWAAMHEID - PALLIATIEVE ZORG;105;93;12;0;0;4;6;16;17;14;16;16;4;0;0;0;1;2;1;2;0;3;3;0;0
Prov Luik;GEEN ERKENNING;14098;12501;1597;0;420;1002;1086;1251;1347;1255;1337;1474;1202;2127;0;47;170;190;200;243;174;142;183;128;120
Prov Luik;BIJZONDERE BEROEPSTITEL - INTENSIEVE ZORG EN SPOEDGEVALLENZORG;1259;903;356;0;62;148;141;150;149;97;80;48;25;3;0;17;60;50;62;66;48;22;20;10;1
Prov Luik;BIJZONDERE BEROEPSTITEL - GERIATRIE;200;178;22;0;3;19;25;32;31;17;22;22;6;1;0;0;1;1;4;6;3;3;4;0;0
Prov Luik;BIJZONDERE BEROEPSTITEL - ONCOLOGIE;331;298;33;0;18;49;48;44;49;36;15;26;12;1;0;1;0;7;3;6;6;7;3;0;0
Prov Luik;BIJZONDERE BEROEPSTITEL - PEDIATRIE EN NEONATOLOGIE;607;579;28;0;34;123;112;96;74;54;37;31;16;2;0;0;3;7;7;7;2;0;2;0;0
Prov Luik;BIJZONDERE BEROEPSTITEL - GEESTELIJKE GEZONDHEIDSZORG EN PSYCHIATRIE;267;185;82;0;5;23;18;33;29;27;24;15;8;3;0;0;4;9;16;19;15;6;8;5;0
Prov Luik;BIJZONDERE BEROEPSTITEL - PERI-OPERATIEVE ZORGEN;264;227;37;0;15;49;44;29;28;28;21;11;2;0;0;1;11;8;10;5;1;0;0;1;0
Prov Luik;BIJZONDERE BEROEPSBEKWAAMHEID - GERIATRIE;345;305;40;0;0;9;38;53;63;45;41;38;18;0;0;0;1;5;8;7;7;5;3;3;1
Prov Luik;BIJZONDERE BEROEPSBEKWAAMHEID - DIABETOLOGIE;99;88;11;0;0;3;10;15;17;18;11;7;5;2;0;0;2;1;4;1;1;1;1;0;0
Prov Luik;BIJZONDERE BEROEPSBEKWAAMHEID - GEESTELIJKE GEZONDHEIDSZORG EN PSYCHIATRIE;205;161;44;0;0;6;15;26;29;20;33;21;10;1;0;0;1;6;6;9;11;3;7;1;0
Prov Luik;BIJZONDERE BEROEPSBEKWAAMHEID - PALLIATIEVE ZORG;142;131;11;0;0;14;14;14;13;23;23;17;12;1;0;0;1;1;0;3;2;2;1;1;0
Prov Namen;GEEN ERKENNING;6993;6275;718;0;257;444;495;548;559;603;726;808;653;1182;0;40;108;106;81;117;57;62;78;32;37
Prov Namen;BIJZONDERE BEROEPSTITEL - INTENSIEVE ZORG EN SPOEDGEVALLENZORG;691;498;193;0;28;90;80;76;67;63;43;29;16;6;0;8;41;27;27;31;25;17;7;7;3
Prov Namen;BIJZONDERE BEROEPSTITEL - GERIATRIE;65;55;10;0;3;7;6;12;6;7;5;4;4;1;0;0;0;0;3;4;1;0;2;0;0
Prov Namen;BIJZONDERE BEROEPSTITEL - ONCOLOGIE;134;118;16;0;10;11;13;14;15;20;17;15;3;0;0;0;1;3;0;3;3;3;0;2;1
Prov Namen;BIJZONDERE BEROEPSTITEL - PEDIATRIE EN NEONATOLOGIE;233;228;5;0;15;42;36;44;29;18;23;14;6;1;0;0;1;1;1;0;2;0;0;0;0
Prov Namen;BIJZONDERE BEROEPSTITEL - GEESTELIJKE GEZONDHEIDSZORG EN PSYCHIATRIE;103;68;35;0;1;5;6;10;15;15;5;8;3;0;0;0;2;2;8;7;6;4;2;3;1
Prov Namen;BIJZONDERE BEROEPSTITEL - PERI-OPERATIEVE ZORGEN;132;118;14;0;6;18;13;21;19;16;14;9;2;0;0;0;2;2;1;5;2;0;2;0;0
Prov Namen;BIJZONDERE BEROEPSBEKWAAMHEID - GERIATRIE;106;93;13;0;0;3;12;19;15;14;15;6;5;4;0;0;1;3;5;2;1;0;1;0;0
Prov Namen;BIJZONDERE BEROEPSBEKWAAMHEID - DIABETOLOGIE;44;40;4;0;0;3;3;6;4;7;7;6;4;0;0;0;0;0;2;0;1;0;1;0;0
Prov Namen;BIJZONDERE BEROEPSBEKWAAMHEID - GEESTELIJKE GEZONDHEIDSZORG EN PSYCHIATRIE;147;115;32;0;0;2;5;13;17;21;14;32;10;1;0;0;0;2;5;5;9;4;6;1;0
Prov Namen;BIJZONDERE BEROEPSBEKWAAMHEID - PALLIATIEVE ZORG;46;42;4;0;0;2;0;2;5;10;5;15;3;0;0;0;0;0;0;0;2;0;1;1;0
Prov Luxemburg;GEEN ERKENNING;3426;3092;334;0;123;209;212;330;331;319;404;413;293;458;0;10;25;25;47;70;29;41;45;19;23
Prov Luxemburg;BIJZONDERE BEROEPSTITEL - INTENSIEVE ZORG EN SPOEDGEVALLENZORG;326;243;83;0;14;55;33;34;32;25;22;22;3;3;0;2;16;18;9;12;8;9;4;4;1
Prov Luxemburg;BIJZONDERE BEROEPSTITEL - GERIATRIE;29;25;4;0;2;4;7;1;1;4;2;1;2;1;0;0;0;1;1;0;2;0;0;0;0
Prov Luxemburg;BIJZONDERE BEROEPSTITEL - ONCOLOGIE;34;31;3;0;1;5;3;5;2;4;4;2;5;0;0;0;0;2;0;0;0;0;1;0;0
Prov Luxemburg;BIJZONDERE BEROEPSTITEL - PEDIATRIE EN NEONATOLOGIE;72;70;2;0;3;13;17;12;6;4;4;8;3;0;0;0;0;1;0;1;0;0;0;0;0
Prov Luxemburg;BIJZONDERE BEROEPSTITEL - GEESTELIJKE GEZONDHEIDSZORG EN PSYCHIATRIE;33;27;6;0;0;1;3;9;6;3;0;4;1;0;0;0;0;0;1;1;2;1;1;0;0
Prov Luxemburg;BIJZONDERE BEROEPSTITEL - PERI-OPERATIEVE ZORGEN;57;47;10;0;2;8;12;7;7;6;2;2;1;0;0;0;3;0;2;3;2;0;0;0;0
Prov Luxemburg;BIJZONDERE BEROEPSBEKWAAMHEID - GERIATRIE;30;26;4;0;0;3;5;3;3;2;5;0;3;2;0;0;0;0;1;0;2;1;0;0;0
Prov Luxemburg;BIJZONDERE BEROEPSBEKWAAMHEID - DIABETOLOGIE;22;21;1;0;0;0;1;5;3;3;5;3;0;1;0;0;0;1;0;0;0;0;0;0;0
Prov Luxemburg;BIJZONDERE BEROEPSBEKWAAMHEID - GEESTELIJKE GEZONDHEIDSZORG EN PSYCHIATRIE;28;23;5;0;0;0;2;1;3;2;6;4;4;1;0;0;0;2;0;1;0;0;2;0;0
Prov Luxemburg;BIJZONDERE BEROEPSBEKWAAMHEID - PALLIATIEVE ZORG;36;34;2;0;0;0;2;3;3;8;7;8;2;1;0;0;1;1;0;0;0;0;0;0;0
Prov Brussels hoofdstedelijk gewest;GEEN ERKENNING;8150;7040;1110;0;301;792;687;589;655;584;702;766;592;1372;0;56;175;197;180;134;110;92;83;49;34
Prov Brussels hoofdstedelijk gewest;BIJZONDERE BEROEPSTITEL - INTENSIEVE ZORG EN SPOEDGEVALLENZORG;516;356;160;0;24;105;67;47;30;28;24;15;10;6;0;11;52;25;20;22;9;7;9;3;2
Prov Brussels hoofdstedelijk gewest;BIJZONDERE BEROEPSTITEL - GERIATRIE;98;79;19;0;3;7;12;15;7;9;11;11;2;2;0;0;1;2;5;1;4;0;4;2;0
Prov Brussels hoofdstedelijk gewest;BIJZONDERE BEROEPSTITEL - ONCOLOGIE;196;174;22;0;2;37;23;22;18;20;17;22;11;2;0;1;0;5;6;2;1;3;2;1;1
Prov Brussels hoofdstedelijk gewest;BIJZONDERE BEROEPSTITEL - PEDIATRIE EN NEONATOLOGIE;376;362;14;0;35;81;59;61;30;31;28;23;13;1;0;0;2;5;1;4;1;1;0;0;0
Prov Brussels hoofdstedelijk gewest;BIJZONDERE BEROEPSTITEL - GEESTELIJKE GEZONDHEIDSZORG EN PSYCHIATRIE;153;110;43;0;5;16;16;17;13;10;16;12;5;0;0;1;8;6;6;6;7;5;3;1;0
Prov Brussels hoofdstedelijk gewest;BIJZONDERE BEROEPSTITEL - PERI-OPERATIEVE ZORGEN;127;96;31;0;3;12;13;13;14;12;13;10;6;0;0;1;2;6;14;2;2;1;2;1;0
Prov Brussels hoofdstedelijk gewest;BIJZONDERE BEROEPSBEKWAAMHEID - GERIATRIE;142;118;24;0;1;4;11;18;10;30;16;21;5;2;0;0;0;4;7;5;5;2;0;1;0
Prov Brussels hoofdstedelijk gewest;BIJZONDERE BEROEPSBEKWAAMHEID - DIABETOLOGIE;48;39;9;0;0;1;3;9;6;8;5;5;1;1;0;0;1;2;1;1;0;3;0;1;0
Prov Brussels hoofdstedelijk gewest;BIJZONDERE BEROEPSBEKWAAMHEID - GEESTELIJKE GEZONDHEIDSZORG EN PSYCHIATRIE;64;52;12;0;1;1;5;5;6;9;7;12;5;1;0;0;1;0;1;3;2;3;2;0;0
Prov Brussels hoofdstedelijk gewest;BIJZONDERE BEROEPSBEKWAAMHEID - PALLIATIEVE ZORG;41;34;7;0;0;0;2;3;3;3;6;13;3;1;0;0;1;0;0;1;1;2;1;1;0
